merchant_sku,catalog_name_ar,official_product_name,verified_brand,verified_size,verified_variant,product_type,category_slug,identity_source_type,image_source_type,identity_source_url,identity_confidence,identity_status,catalog_identity_match_status,catalog_identity_match_notes,identity_notes,source_image_url,source_tier_rule
ARD-2437,عطر حياتي الملكي 100 مل,Hayaati Al Maleky,Lattafa,100 مل,Al Maleky,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/hayaati-al-maleky/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر حياتي الملكي 100 مل' aligns with official 'Hayaati Al Maleky' via transliteration.,Official Lattafa page حياتي الملكي; page fragrance-type men; notes from official Arabic listing.,https://www.lattafa.my/cdn/perfumes/lattafa/hayaati-al-maleky-100-ml-men-lattafa-edp/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2471,عطر عودين 100 مل,Oudain,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/oudain/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر عودين 100 مل' aligns with official 'Oudain' via transliteration.,Official Lattafa Arabic page عودين; 100 ML unisex.,https://www.lattafa.my/cdn/perfumes/lattafa/oudain-lattafa-perfume-lelaki-woody-smoky-100ml-edp/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2493,عطر سمبلي عود 100 مل,Simply Oud,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/simply-oud/,medium,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر سمبلي عود 100 مل' aligns with official 'Simply Oud' via transliteration.,Lattafa EG distributor listing Simply Oud 100ml unisex; lattafa.com slug not confirmed this pass.,https://www.lattafa.my/cdn/perfumes/lattafa/simply-oud-lattafa-perfume-lelaki-oud-smoky-100ml-edp/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2494,عطر سطور 100 مل,Sutoor,Lattafa,100 مل,,Eau de Parfum,perfumes,trusted_retailer,official_distributor,https://balade-orientale.com/en/products/sutoor-100ml-lattafa-perfume,medium,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر سطور 100 مل' aligns with official 'Sutoor' via transliteration.,Sutoor Lattafa 100ml verified via retailer; Fragrantica lists Sutoor under Lattafa; official .com page not confirmed. | image unresolved in enrichment pass,https://www.lattafa.my/cdn/perfumes/lattafa/sutoor-lattafa-perfumes-wangiworld-malaysia-8-100ml-edp/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2511,عطر انا الابيض بودري,Ana Abiyedh Poudree,Lattafa,100 مل,Poudree,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/ana-abiyedh-poudree/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog انا الابيض بودري = Ana Abiyedh Poudree.,catalog_identity_mismatch_reconcile Option B: replaced ARD-468 (خلطات عربية ذهبي/no reliable image) with Stage2 Ana Abiyedh Poudree.,https://www.lattafa.my/cdn/ana-abiyedh-poudree-by-lattafa-60ml-5/large/image.jpg,lattafa.my=official_distributor
ARD-2512,عطر حياتي ذهبي الكسير,Hayaati Gold Elixir,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/hayaati-gold-elixir/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر حياتي ذهبي الكسير' aligns with official 'Hayaati Gold Elixir' via transliteration.,image_size_or_format_mismatch: Ramz Silver 30ml lacked exact 30ml image; replaced with Stage2 Hayaati Gold Elixir 100ml EDP.,https://www.lattafa.my/cdn/perfumes/lattafa/hayaati-gold-elixir-by-lattafa-100ml-edp-malaysia/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2515,عطر انا الابيض لذر 60 مل,Ana Abiyedh Leather,Lattafa,60 مل,Leather,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/ana-abiyedh-leather/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر انا الابيض لذر 60 مل' aligns with official 'Ana Abiyedh Leather' via transliteration.,Official Lattafa page Ana Abiyedh Leather; size 60 ML unisex matches catalog لذر=Leather.,https://www.lattafa.my/cdn/ana-abiyedh-leather-60ml-by-lattafa-perfumes-6/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2583,عطر نجدية تربيوت,Najdia Tribute,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/najdia-tribute/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر نجدية تربيوت' aligns with official 'Najdia Tribute' via transliteration.,Replacement for ARD-4239 (image_duplicate_conflict); unique direct image 1080x1080.,https://www.lattafa.my/cdn/perfumes/lattafa/68f547af5202c1760905135-100ml-edp/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2648,عطر الازل 100 مل,Al Azal,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/al-azal/,medium,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر الازل 100 مل' aligns with official 'Al Azal' via transliteration.,Al Azal Lattafa 100ml via Lattafa MY distributor; Fragrantica/community also list Al Azal 2024 variant notes may differ by market.,https://www.lattafa.my/cdn/perfumes/lattafa/al-azal-lattafa-perfume-lelaki-woody-amber-100ml-edp/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2745,عطر مهرة 100 مل,Mohra,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/mohra/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر مهرة 100 مل' aligns with official 'Mohra' via transliteration.,Official Lattafa Arabic page محرا/Mohra; 100 ML unisex.,https://www.lattafa.my/cdn/d968d4d7-7b4e-4bf9-b627-8fdb517be300/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2753,عطر اوبلينت ريد 100 مل,Opulent Red,Lattafa,100 مل,Opulent Collection,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/opulent-red/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر اوبلينت ريد 100 مل' aligns with official 'Opulent Red' via transliteration.,Official Lattafa Opulent Red 100 ML; page fragrance type Women.,https://www.lattafa.my/cdn/perfumes/lattafa/opulent-red-lattafa-wanita-fruity-floral-amber-100ml-edp/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2760,عطر اسد 100 مل,Asad,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/asad/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر اسد 100 مل' aligns with official 'Asad' via transliteration.,Official Lattafa Asad 100 ML men.,https://www.lattafa.my/cdn/perfumes/lattafa/asad-by-lattafa-100ml-edp-men-malaysia/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2765,عطر منى 100 مل,Muna,Lattafa,100 مل,,Eau de Parfum,perfumes,trusted_retailer,trusted_retailer,https://www.fragrantica.asia/perfume/Lattafa-Perfumes/Muna-89897.html,medium,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر منى 100 مل' aligns with official 'Muna' via transliteration.,Muna Lattafa 2022 floral unisex via Fragrantica; official .com page not confirmed this pass. | image unresolved in enrichment pass,https://ecombe.nahdionline.com/media/catalog/product/1/0/103564360_a7d2c044e6fb578f3_23611.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
