merchant_sku,short_description,description,content_status,identity_source_type,identity_source_url,scent_family,top_notes,heart_notes,base_notes,official_gender
ARD-2515,عطر أنا الأبيض ليذر من لطافة بحجم 60 مل، برائحة جلدية أنيقة مع لمسات حارة وزهرية وقاعدة مسك وعنبر.,"عائلة عطرية: Leather Woody | المقدمة: Juniper berries, cardamom, pink pepper, raspberry | القلب: Iris, ginger, rose | القاعدة: Leather, white musk, amber",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/ana-abiyedh-leather/,Leather Woody,"Juniper berries, cardamom, pink pepper, raspberry","Iris, ginger, rose","Leather, white musk, amber",unisex
ARD-2583,عطر عطر نجدية تربيوت من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/najdia-tribute/,,,,,unisex
ARD-2648,عطر الأزل من لطافة بحجم 100 مل، بافتتاحية حمضية عشبية وقلب زهري وقاعدة فانيليا ومسك وخشب أرز دافئة.,"عائلة عطرية: Woody Oriental | المقدمة: Bergamot, lemon, rosemary | القلب: Lavender, geranium, rose | القاعدة: Vanilla, musk, cedarwood",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/al-azal/,Woody Oriental,"Bergamot, lemon, rosemary","Lavender, geranium, rose","Vanilla, musk, cedarwood",men
ARD-2745,عطر مهرة من لطافة بحجم 100 مل للجنسين، بمزيج حار زهري مع زعفران وورد وقاعدة خشبية مسكية أنيقة.,"عائلة عطرية: Woody Spicy Floral | المقدمة: Bergamot, blood orange, lavender, saffron | القلب: Rose, black pepper, cashmeran | القاعدة: Cedar, sandalwood, patchouli, labdanum, musk",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/mohra/,Woody Spicy Floral,"Bergamot, blood orange, lavender, saffron","Rose, black pepper, cashmeran","Cedar, sandalwood, patchouli, labdanum, musk",unisex
ARD-2753,عطر أوبلينت ريد من لطافة بحجم 100 مل، برائحة فاكهية زهرية دافئة مع زعفران وكاشمران وقاعدة عنبر وخشب.,"عائلة عطرية: Floral Fruity / Gourmand Woody | المقدمة: Saffron, bergamot | القلب: Patchouli, cashmeran, gourmand | القاعدة: Dry amber, leatherwood, cedarwood",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/opulent-red/,Floral Fruity / Gourmand Woody,"Saffron, bergamot","Patchouli, cashmeran, gourmand","Dry amber, leatherwood, cedarwood",women
ARD-2760,عطر أسد من لطافة بحجم 100 مل للرجال، برائحة كهرمانية قوية مع فلفل أسود وتبغ وقهوة وقاعدة فانيليا وعنبر.,"عائلة عطرية: Amber | المقدمة: Black pepper, pineapple, tobacco | القلب: Coffee, iris, patchouli | القاعدة: Amber, vanilla, dry woods, benzoin, labdanum",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/asad/,Amber,"Black pepper, pineapple, tobacco","Coffee, iris, patchouli","Amber, vanilla, dry woods, benzoin, labdanum",men
ARD-2765,عطر منى من لطافة بحجم 100 مل، برائحة زهرية فاكهية خفيفة مع بطيخ وورد دمشق وقاعدة مسكية خشبية ناعمة.,"عائلة عطرية: Floral Fruity | المقدمة: Watermelon, strawberry | القلب: Damascus rose, cyclamen, peony, magnolia | القاعدة: Woody notes, musk",SECONDARY_DETAILED,trusted_retailer,https://www.fragrantica.asia/perfume/Lattafa-Perfumes/Muna-89897.html,Floral Fruity,"Watermelon, strawberry","Damascus rose, cyclamen, peony, magnolia","Woody notes, musk",unisex
ARD-2773,عطر عود مود تذكر من لطافة بحجم 100 مل، برائحة شرقية عودية مع ورد وزعفران وقاعدة فانيليا ومسك وطحلب.,"عائلة عطرية: Oriental Woody | المقدمة: Rose, saffron, cinnamon | القلب: Patchouli, dry amber | القاعدة: Vanilla, musk, oakmoss, oud",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/oud-mood-reminiscence/,Oriental Woody,"Rose, saffron, cinnamon","Patchouli, dry amber","Vanilla, musk, oakmoss, oud",men
ARD-2793,معطر جو فخر لطافة من لطافة، لتعطير المنزل برائحة فخر الأنيقة المنعشة بحجم منزلي عملي وثابت.,,SHORT_ONLY,official_manufacturer,https://lattafa.com/product/fakhar-lattafa-men/,,,,,men
ARD-2797,معطر جو فخر لطافة نسائي من لطافة، يعطّر الأجواء برائحة زهرية أنثوية مستوحاة من عطر فخر للنساء.,"المقدمة: Orange blossom | القلب: Tuberose, jasmine | القاعدة: Vetiver, patchouli | التصنيف الرسمي: women",OFFICIAL_DETAILED,official_manufacturer,https://lattafa.com/product/fakhar-lattafa-women/,,Orange blossom,"Tuberose, jasmine","Vetiver, patchouli",women
ARD-287,عطر أنا الأبيض من لطافة، رائحة مسكية منعشة للجنسين بطابع نظيف وأنيق للاستخدام اليومي.,عائلة عطرية: musky fresh,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/ana-abiyedh/,musky fresh,,,,unisex
ARD-2876,عطر قصائد السلطان من لطافة بحجم 100 مل، برائحة جلدية شرقية دافئة مع عسل وتوابل وقاعدة عود وفانيليا.,"عائلة عطرية: Leather Oriental | المقدمة: Bergamot, amber | القلب: Spices, honey, leather | القاعدة: Sandalwood, patchouli, vanilla, oud",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/qasaed-al-sultan/,Leather Oriental,"Bergamot, amber","Spices, honey, leather","Sandalwood, patchouli, vanilla, oud",unisex
ARD-2879,عطر خمرة من لطافة بحجم 100 مل للجنسين، برائحة غورماند حارة مع قرفة وتمر وبراالين وقاعدة فانيليا وتونكا.,"عائلة عطرية: Aromatic Spicy Gourmand | المقدمة: Bergamot, cinnamon, nutmeg | القلب: Dates, lily of the valley, praline, tuberose | القاعدة: Roasted tonka, benzoin, myrrh, akigalawood, vanilla, amberwood",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/khamrah/,Aromatic Spicy Gourmand,"Bergamot, cinnamon, nutmeg","Dates, lily of the valley, praline, tuberose","Roasted tonka, benzoin, myrrh, akigalawood, vanilla, amberwood",unisex
ARD-2932,عطر الأوصاف من لطافة بحجم 100 مل، برائحة خشبية راتنجية داكنة مع مر وعود وباتشولي تناسب الأمسيات والأجواء الباردة.,"عائلة عطرية: Woody Resinous Amber | المقدمة: Myrrh, tonka bean, spices, cedar | القاعدة: Patchouli, oud, cedar, musk, oakmoss",SECONDARY_DETAILED,trusted_retailer,https://scentclones.com/lattafa-al-awsaaf-review/,Woody Resinous Amber,"Myrrh, tonka bean, spices, cedar",,"Patchouli, oud, cedar, musk, oakmoss",unisex
ARD-2933,عطر تميمة من لطافة بحجم 100 مل للنساء، برائحة فاكهية صيفية خفيفة مع توت وكيوي وقلب زهري وقاعدة صندل ومسك.,"عائلة عطرية: Fruity Floral | المقدمة: Pink pepper, rhubarb, redcurrant, kiwi | القلب: Cyclamen, jasmine, watermelon | القاعدة: Sandalwood, musk, woody notes, cedar | التصنيف الرسمي: women",OFFICIAL_DETAILED,official_manufacturer,https://lattafa.com/ar/product/tamima/,Fruity Floral,"Pink pepper, rhubarb, redcurrant, kiwi","Cyclamen, jasmine, watermelon","Sandalwood, musk, woody notes, cedar",women
ARD-308,عطر اختياري (إختياري) من لطافة، عطر فاكهي عطري للجنسين بطابع منعش يناسب الاستخدام اليومي.,عائلة عطرية: aromatic fruity,SECONDARY_DETAILED,official_distributor,https://www.lattafa-ca.com/p/ekhtiari/,aromatic fruity,,,,unisex
ARD-309,عطر وشوشة من لطافة للنساء، بتركيبة زهرية فاكهية ناعمة تناسب الإطلالة اليومية والمناسبات.,عائلة عطرية: floral fruity,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/washwashah/,floral fruity,,,,women
ARD-310,عطر رغبة الرجالي من لطافة، بطابع حلو دخاني رجالي يناسب الاستخدام اليومي والمساء.,عائلة عطرية: sweet smoky,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/raghba-for-men/,sweet smoky,,,,men
ARD-311,عطر رمز لطافة الفضي من لطافة للرجال، بتركيبة منعشة حارة بطابع عصري واضح.,عائلة عطرية: fresh spicy,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/ramz-silver/,fresh spicy,,,,men
ARD-3117,عطر عطر انسام سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa-pride/ansaam-silver/,,,,,unisex
ARD-312,عطر إعجازي من لطافة للرجال، بتركيبة عطرية خشبية بطابع قوي يناسب الحضور اليومي.,عائلة عطرية: woody aromatic,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/ejaazi/,woody aromatic,,,,men
ARD-3149,عطر يارا موي من لطافة بحجم 100 مل للنساء، برائحة فاكهية زهرية أنثوية مع كمثرى وتيوبيروز وقاعدة فانيليا وكاشمران.,"عائلة عطرية: Floral Fruity | المقدمة: Pear, pink pepper, blackcurrant | القلب: Tuberose, jasmine, almond | القاعدة: Vanilla, cashmeran, patchouli",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/yara-moi/,Floral Fruity,"Pear, pink pepper, blackcurrant","Tuberose, jasmine, almond","Vanilla, cashmeran, patchouli",women
ARD-3240,عطر هيا من لطافة بحجم 100 مل للنساء، برائحة فاكهية زهرية حلوة مع شمبانيا وردية وغاردينيا وقاعدة برالين وعنبر.,"عائلة عطرية: Fruity Floral Gourmand | المقدمة: Pink champagne, pink berries, orange, mandarin, pink strawberry | القلب: Gardenia, vanilla, orchid, jasmine | القاعدة: Praline, amber, sandalwood",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/haya/,Fruity Floral Gourmand,"Pink champagne, pink berries, orange, mandarin, pink strawberry","Gardenia, vanilla, orchid, jasmine","Praline, amber, sandalwood",women
ARD-3242,عطر سكينة من لطافة بحجم 100 مل للنساء، برائحة فاكهية غورماند مع باشون فروت وورد وقاعدة برالين وفانيليا.,"عائلة عطرية: Fruity Gourmand | المقدمة: Mandarin, ozonic notes, passion fruit | القلب: Orange blossom, rose, sea salt, berries | القاعدة: Musk, vanilla, praline, toffee",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/sakeena/,Fruity Gourmand,"Mandarin, ozonic notes, passion fruit","Orange blossom, rose, sea salt, berries","Musk, vanilla, praline, toffee",women
ARD-3244,عطر تأويل من لطافة بحجم 100 مل للرجال، برائحة عطرية خشبية مع برغموت وزنجبيل ولافندر وقاعدة جلدية وأمبروكسان.,"عائلة عطرية: Aromatic Woody | المقدمة: Bergamot, ginger, juniper, nutmeg | القلب: Orange blossom, lavender | القاعدة: Vetiver, patchouli, leather, ambroxan | التصنيف الرسمي: men",OFFICIAL_DETAILED,official_manufacturer,https://lattafa.com/product/taweel/,Aromatic Woody,"Bergamot, ginger, juniper, nutmeg","Orange blossom, lavender","Vetiver, patchouli, leather, ambroxan",men
ARD-3245,عطر إيمان من لطافة بحجم 100 مل للنساء، برائحة شيبريه زهرية مع زهر البرتقال وتيوبيروز وقاعدة فانيليا ومسك أبيض.,"عائلة عطرية: Chypre Floral | المقدمة: Orange blossom, bergamot, blackcurrant | القلب: Tuberose, marigold, jasmine | القاعدة: Vanilla, white musk, cedarwood, patchouli | التصنيف الرسمي: women",OFFICIAL_DETAILED,official_manufacturer,https://lattafa.com/product/emaan/,Chypre Floral,"Orange blossom, bergamot, blackcurrant","Tuberose, marigold, jasmine","Vanilla, white musk, cedarwood, patchouli",women
ARD-3260,عطر ماهر ليغاسي من لطافة بحجم 100 مل للرجال، برائحة حمضية منعشة مع نعناع وأناناس وقاعدة فيتيفير وأمبروكسان.,"عائلة عطرية: Citrus Aromatic Woody | المقدمة: Lime, grapefruit, lavender, spearmint, pineapple | القلب: Juniper berry, rosemary, olibanum, geranium, black pepper | القاعدة: Vetiver, cashmeran, ambrox, oakmoss, tonka bean",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/maahir-legacy/,Citrus Aromatic Woody,"Lime, grapefruit, lavender, spearmint, pineapple","Juniper berry, rosemary, olibanum, geranium, black pepper","Vetiver, cashmeran, ambrox, oakmoss, tonka bean",men
ARD-3274,عطر ذوق من لطافة بحجم 80 مل للنساء، بافتتاحية برغموت وليتشي وقلب ورد وبخور وقاعدة عنبر وفيتيفير.,"عائلة عطرية: Floral Woody | المقدمة: Bergamot, litchi | القلب: Rose, incense | القاعدة: Amber, vetiver",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/thouq/,Floral Woody,"Bergamot, litchi","Rose, incense","Amber, vetiver",women
ARD-3347,عطر عطر عود نجدية من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Oud ضمن تشكيلة موثّقة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/oud-najdia/,,,,,unisex
ARD-3349,عطر أورا من لطافة بحجم 60 مل للجنسين، بافتتاحية زعفران وقلب ياسمين وبلسم تنوب وقاعدة كاشمران ومسك وخشب أرز.,"عائلة عطرية: Woody Spicy | المقدمة: Saffron | القلب: Jasmine, fir balsam | القاعدة: Cashmeran, ambergris, moss, musk, cedarwood | التصنيف الرسمي: unisex",OFFICIAL_DETAILED,official_manufacturer,https://lattafa.com/product/aura/,Woody Spicy,Saffron,"Jasmine, fir balsam","Cashmeran, ambergris, moss, musk, cedarwood",unisex
ARD-3350,عطر فلفت روز من لطافة بحجم 100 مل، برائحة وردية مخملية مع هيل وباتشولي وقاعدة سويد وعنبر وعود.,"عائلة عطرية: Rose Woody | المقدمة: Cardamom, bergamot | القلب: Violet leaf, patchouli | القاعدة: Suede, amber musk, oakmoss, oud",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/velvet-rose/,Rose Woody,"Cardamom, bergamot","Violet leaf, patchouli","Suede, amber musk, oakmoss, oud",women
ARD-3351,عطر النبل أمير من لطافة بحجم 100 مل للجنسين، برائحة خشبية حارة مع تفاح وفلفل وردي وقاعدة عود وفيتيفير.,"عائلة عطرية: Woody Spicy | المقدمة: Apple, pink pepper, rosemary | القلب: Cloves, floral notes | القاعدة: Oud, patchouli, cypress, labdanum, vetiver",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/al-noble-ameer/,Woody Spicy,"Apple, pink pepper, rosemary","Cloves, floral notes","Oud, patchouli, cypress, labdanum, vetiver",unisex
ARD-3352,عطر النبل وزير من لطافة بحجم 100 مل للجنسين، بمزيج فاكهي خشبي مع نعناع وشوكولاتة وقاعدة فانيليا ومسك.,"عائلة عطرية: Fruity Woody Powdery | المقدمة: Mint, bitter orange, bergamot, juniper | القلب: Iris, dark chocolate, berries, caramel, pear | القاعدة: Amber, vanilla, musk",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/al-noble-wazeer/,Fruity Woody Powdery,"Mint, bitter orange, bergamot, juniper","Iris, dark chocolate, berries, caramel, pear","Amber, vanilla, musk",unisex
ARD-3353,عطر النبل سفير من لطافة بحجم 100 مل للجنسين، برائحة عطرية خضراء خشبية مع برغموت وأعشاب وقاعدة راتنجية دافئة.,"عائلة عطرية: Aromatic Woody | المقدمة: Artemisia, bergamot | القلب: Herbal notes, green notes, spicy notes | القاعدة: Guaiac wood, juniper, frankincense, patchouli, labdanum | التصنيف الرسمي: unisex",OFFICIAL_DETAILED,official_manufacturer,https://lattafa.com/product/al-noble-safeer/,Aromatic Woody,"Artemisia, bergamot","Herbal notes, green notes, spicy notes","Guaiac wood, juniper, frankincense, patchouli, labdanum",unisex
ARD-3531,عطر أجواء من لطافة، برائحة فاكهية زهرية شرقية مع ليتشي وياسمين وورد وقاعدة فانيليا وعنبر وخشب.,"عائلة عطرية: Fruity Floral Oriental | المقدمة: Bergamot, litchi, fruity notes | القلب: Jasmine, rose, cinnamon | القاعدة: Amber, cedar, musk, sandalwood, vanilla",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/ajwad/,Fruity Floral Oriental,"Bergamot, litchi, fruity notes","Jasmine, rose, cinnamon","Amber, cedar, musk, sandalwood, vanilla",women
ARD-3536,عطر فينتاج راديو من لطافة بحجم 100 مل للجنسين، برائحة عطرية نوستالجية مع لافندر ومريمية وبرقوق وقاعدة صندل.,"عائلة عطرية: Aromatic Woody | المقدمة: Lavender, sage, bergamot | القلب: Plum, palo santo, black pepper | القاعدة: Sandalwood, amberwood",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/vintage-radio/,Aromatic Woody,"Lavender, sage, bergamot","Plum, palo santo, black pepper","Sandalwood, amberwood",unisex
ARD-3627,عطر لا كولكشن 1910 بايك من لطافة بحجم 100 مل، برائحة وردية فاكهية مع تفاح وأوسمانتوس وقاعدة فانيليا وتونكا.,"عائلة عطرية: Floral Fruity Woody | المقدمة: Rose, apple, davana | القلب: Osmanthus, cedarwood | القاعدة: Tonka bean, vanilla, patchouli",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/la-collection-1910/,Floral Fruity Woody,"Rose, apple, davana","Osmanthus, cedarwood","Tonka bean, vanilla, patchouli",unisex
ARD-3628,عطر لا كولكشن 1886 كار من لطافة برايد بحجم 100 مل، برائحة عطرية دافئة مع قرفة وشوكولاتة بيضاء وتبغ أبيض.,"عائلة عطرية: Aromatic Gourmand | المقدمة: Bergamot, mate | القلب: Cinnamon bark, jasmine, orris, tonka, bran | القاعدة: Vanilla, white musk, white chocolate, white tobacco, patchouli | التصنيف الرسمي: unisex",OFFICIAL_DETAILED,official_manufacturer,https://lattafa.com/product/la-collection-dantiquity-1886/,Aromatic Gourmand,"Bergamot, mate","Cinnamon bark, jasmine, orris, tonka, bran","Vanilla, white musk, white chocolate, white tobacco, patchouli",unisex
ARD-3709,عطر خمرة قهوة من لطافة بحجم 100 مل للجنسين، برائحة غورماند قهوة وتوابل وفانيليا دافئة وثابتة.,"عائلة عطرية: Oriental Vanilla Coffee | المقدمة: Ginger, cinnamon, cardamom | القلب: Praline, candied fruits, white flowers | القاعدة: Coffee Arabica, tonka, musk, benzoin, vanilla",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/khamrah-qahwa/,Oriental Vanilla Coffee,"Ginger, cinnamon, cardamom","Praline, candied fruits, white flowers","Coffee Arabica, tonka, musk, benzoin, vanilla",unisex
ARD-3710,عطر عجايب دبي من لطافة بحجم 100 مل، بطابع كهرماني حلو للجنسين.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/ajayeb-dubai/,,,,,unisex
ARD-3711,عطر عطر قائد الفرسان انلمتد ابيض 90 مل من Lattafa بحجم 90 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/qaed-al-fursan-unlimited/,,,,,unisex
ARD-3712,عطر يارا توس من لطافة بحجم 100 مل للنساء، بطابع فاكهي فانيليا أنثوي ضمن هوية لطافة الرسمية.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/yara-tous/,,,,,women
ARD-3714,عطر عطر ليام 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/liam-grey/,,,,,unisex
ARD-3897,عطر بديع العود سبلايم من لطافة بحجم 100 مل، بطابع عودي فاخر.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/badee-al-oud-sublime/,,,,,unisex
ARD-4138,عطر إكلير من لطافة للنساء بحجم 100 مل، بتركيبة فانيليا غورماند حلوة بطابع أنثوي جذاب.,عائلة عطرية: gourmand vanilla,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/eclaire/,gourmand vanilla,,,,women
ARD-4214,عطر عطر عفيف 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Afeef ضمن تشكيلة موثّقة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/afeef/,,,,,unisex
ARD-4215,عطر فخر لطافة إكسترايت من لطافة بحجم 100 مل، بطابع دخاني كهرماني ضمن خط فخر الرسمي.,,SHORT_ONLY,official_manufacturer,https://lattafa.com/product/fakhar-extrait/,,,,,men
ARD-4246,عطر بديع العود نوبل بلش من لطافة بحجم 100 مل، بطابع عودي زهري أنيق.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/badee-al-oud-noble-blush/,,,,,unisex
