merchant_sku,severity,issue_type,field,evidence,recommended_fix,confidence
ARD-4685,P2,awkward_arabic_repeated_itr,short_description,عطر عطر اسد الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Asad ضمن تشكيلة موثّقة.,remove duplicated عطر prefix; keep one product noun,high
ARD-4686,P2,awkward_arabic_repeated_itr,short_description,عطر عطر يارا الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-5036,P2,awkward_arabic_repeated_itr,short_description,عطر عطر ماهر هونور 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-5058,P2,awkward_arabic_repeated_itr,short_description,عطر عطر خمرة واحة 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Khamrah ضمن تشكيلة موثّقة.,remove duplicated عطر prefix; keep one product noun,high
ARD-1191,P2,KNOWN_HOLD,image_url|identity,Oud Mood packaging visible; content empty intentionally; identity HOLD remains,keep empty content; resolve identity under separate auth,high
ARD-2511,P2,NEEDS_HUMAN_CONFIRMATION,image_url|identity,Identity Poudrée confirmed (I AM WHITE / بودري); bottle size marking may read 60ml vs catalog 100 مل — confirm size before activation,replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-2793,P1,FAIL_WRONG_VARIANT,image_url|identity,Listing 300ml home spray; image is Fakhar Lattafa EDP perfume bottle/box,replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-2797,P1,FAIL_WRONG_VARIANT,image_url|identity,Listing 300ml home spray; image is perfume packaging not home spray,replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-2932,P2,PASS,image_url|identity,Correct Al Awsaaf / الاوصاف identity but promotional review overlay text present,replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-4300,P1,FAIL_WRONG_VARIANT,image_url|identity,Listing معطر جو 300 مل; image shows perfume EDP packaging,replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-4564,P1,FAIL_WRONG_VARIANT,image_url|identity,Listing معطر جو ماهر 300 مل; image is Maahir 100ml EDP horse-head set,replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-4750,P1,FAIL_WRONG_VARIANT,image_url|identity,Listing معطر جو اكلاير 300 مل; image is Eclaire 100ml EDP (3.4FL.OZ),replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-4751,P1,FAIL_WRONG_VARIANT,image_url|identity,Listing معطر جو مسمم ابيض 300 مل; image is Musamam White Intense EDP perfume,replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-4752,P1,FAIL_WRONG_VARIANT,image_url|identity,Listing معطر جو بديع العود نوبل بلوش 300 مل; image is Noble Blush EDP perfume,replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-4792,P1,FAIL_WRONG_VARIANT,image_url|identity,Listing مسمم اسود انتنس; bottle label reads MUSAMAM WHITE INTENSE (gold bottle),replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-4807,P1,FAIL_WRONG_VARIANT,image_url|identity,Listing معطر جو نبراس 300 مل; image is Nebras 100ml EDP (Lattafa Pride),replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-775,P1,FAIL_WRONG_BRAND,image_url|identity,Catalog brand Lattafa / musk category; packaging clearly ASDAAF SALAMAH EDP 100ml,replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
ARD-823,P1,FAIL_WRONG_SIZE,image_url|identity,Catalog size 100 مل; bottle and box print EAU DE PARFUM 50 ML (+ deodorant set),replace image / correct brand-size-variant under PRIVATE_CATALOG_QA_FIX_PLAN_APPROVED,high
